date,s1,pays
2006-09-30,3.75,allemagne
2006-10-31,3.79,allemagne
2006-11-30,3.71,allemagne
2006-12-31,3.77,allemagne
2007-01-31,4.02,allemagne
2007-02-28,4.05,allemagne
2007-03-31,3.94,allemagne
2007-04-30,4.15,allemagne
2007-05-31,4.28,allemagne
2007-06-30,4.56,allemagne
2007-07-31,4.5,allemagne
2007-08-31,4.3,allemagne
2007-09-30,4.22,allemagne
2007-10-31,4.28,allemagne
2007-11-30,4.09,allemagne
2007-12-31,4.21,allemagne
2008-01-31,4.03,allemagne
2008-02-29,3.95,allemagne
2008-03-31,3.8,allemagne
2008-04-30,4.04,allemagne
2008-05-31,4.2,allemagne
2008-06-30,4.52,allemagne
2008-07-31,4.49,allemagne
2008-08-31,4.2,allemagne
2008-09-30,4.09,allemagne
2008-10-31,3.88,allemagne
2008-11-30,3.56,allemagne
2008-12-31,3.05,allemagne
2009-01-31,3.07,allemagne
2009-02-28,3.13,allemagne
2009-03-31,3.02,allemagne
2009-04-30,3.13,allemagne
2009-05-31,3.37,allemagne
2009-06-30,3.47,allemagne
2009-07-31,3.34,allemagne
2009-08-31,3.31,allemagne
2009-09-30,3.26,allemagne
2009-10-31,3.21,allemagne
2009-11-30,3.22,allemagne
2009-12-31,3.14,allemagne
2010-01-31,3.26,allemagne
2010-02-28,3.17,allemagne
2010-03-31,3.1,allemagne
2010-04-30,3.06,allemagne
2010-05-31,2.73,allemagne
2010-06-30,2.54,allemagne
2010-07-31,2.62,allemagne
2010-08-31,2.35,allemagne
2010-09-30,2.3,allemagne
2010-10-31,2.35,allemagne
2010-11-30,2.53,allemagne
2010-12-31,2.91,allemagne
2011-01-31,3.02,allemagne
2011-02-28,3.2,allemagne
2011-03-31,3.21,allemagne
2011-04-30,3.34,allemagne
2011-05-31,3.06,allemagne
2011-06-30,2.89,allemagne
2011-07-31,2.74,allemagne
2011-08-31,2.21,allemagne
2011-09-30,1.83,allemagne
2011-10-31,2,allemagne
2011-11-30,1.87,allemagne
2011-12-31,1.93,allemagne
2012-01-31,1.82,allemagne
2012-02-29,1.85,allemagne
2012-03-31,1.83,allemagne
2012-04-30,1.62,allemagne
2012-05-31,1.34,allemagne
2012-06-30,1.3,allemagne
2012-07-31,1.24,allemagne
2012-08-31,1.34,allemagne
2012-09-30,1.49,allemagne
2012-10-31,1.47,allemagne
2012-11-30,1.34,allemagne
2012-12-31,1.3,allemagne
2013-01-31,1.51,allemagne
2013-02-28,1.54,allemagne
2013-03-31,1.35,allemagne
2013-04-30,1.2,allemagne
2013-05-31,1.29,allemagne
2013-06-30,1.53,allemagne
2013-07-31,1.56,allemagne
2013-08-31,1.73,allemagne
2013-09-30,1.89,allemagne
2013-10-31,1.76,allemagne
2013-11-30,1.68,allemagne
2013-12-31,1.8,allemagne
2014-01-31,1.76,allemagne
2014-02-28,1.56,allemagne
2014-03-31,1.51,allemagne
2014-04-30,1.46,allemagne
2014-05-31,1.33,allemagne
2014-06-30,1.26,allemagne
2014-07-31,1.11,allemagne
2014-08-31,0.95,allemagne
2014-09-30,0.92,allemagne
2014-10-31,0.79,allemagne
2014-11-30,0.72,allemagne
2014-12-31,0.59,allemagne
2015-01-31,0.39,allemagne
2015-02-28,0.3,allemagne
2015-03-31,0.23,allemagne
2015-04-30,0.12,allemagne
2015-05-31,0.56,allemagne
2015-06-30,0.79,allemagne
2015-07-31,0.71,allemagne
2015-08-31,0.61,allemagne
2015-09-30,0.65,allemagne
2015-10-31,0.52,allemagne
2015-11-30,0.52,allemagne
2015-12-31,0.55,allemagne
2016-01-31,0.43,allemagne
2016-02-29,0.17,allemagne
2016-03-31,0.17,allemagne
2016-04-30,0.13,allemagne
2016-05-31,0.13,allemagne
2016-06-30,-0.02,allemagne
2016-07-31,-0.15,allemagne
2016-08-31,-0.13,allemagne
2016-09-30,-0.09,allemagne
2016-10-31,0,allemagne
2016-11-30,0.19,allemagne
2016-12-31,0.25,allemagne
2017-01-31,0.25,allemagne
2017-02-28,0.26,allemagne
2017-03-31,0.35,allemagne
2017-04-30,0.22,allemagne
2017-05-31,0.34,allemagne
2017-06-30,0.25,allemagne
2017-07-31,0.46,allemagne
2017-08-31,0.35,allemagne
2017-09-30,0.35,allemagne
2017-10-31,0.37,allemagne
2017-11-30,0.31,allemagne
2017-12-31,0.3,allemagne
2018-01-31,0.47,allemagne
2018-02-28,0.66,allemagne
2018-03-31,0.53,allemagne
2018-04-30,0.48,allemagne
2018-05-31,0.45,allemagne
2018-06-30,0.33,allemagne
2018-07-31,0.28,allemagne
2018-08-31,0.29,allemagne
2018-09-30,0.37,allemagne
2018-10-31,0.4,allemagne
2018-11-30,0.31,allemagne
2018-12-31,0.19,allemagne
2019-01-31,0.13,allemagne
2019-02-28,0.06,allemagne
2019-03-31,0.01,allemagne
